object_id,normalized_time,memory_mb
21,0.938776,3779.254000
21,0.959184,3779.254000
21,0.979592,3633.102000
21,1.000000,3927.121000
24,0.000000,155.422000
24,0.020408,227.422000
24,0.040816,287.484000
24,0.061224,347.484000
24,0.081633,431.547000
24,0.102041,503.547000
24,0.122449,587.609000
24,0.142857,659.672000
24,0.163265,743.672000
24,0.183673,971.738000
24,0.204082,1031.738000
24,0.224490,1103.801000
24,0.244898,1163.801000
24,0.265306,1235.863000
24,0.285714,1295.863000
24,0.306122,1367.926000
24,0.326531,1427.926000
24,0.346939,1487.988000
24,0.367347,1847.992000
24,0.387755,1908.055000
24,0.408163,1968.055000
24,0.428571,2028.117000
24,0.448980,2088.117000
24,0.469388,2148.180000
24,0.489796,2208.180000
24,0.510204,2280.242000
24,0.530612,2340.242000
24,0.551020,2400.305000
24,0.571429,2460.305000
24,0.591837,2520.367000
24,0.612245,2580.367000
24,0.632653,2640.430000
24,0.653061,2712.430000
24,0.673469,2772.492000
24,0.693878,2832.492000
24,0.714286,2892.555000
24,0.734694,2964.555000
24,0.755102,3024.617000
24,0.775510,3648.621000
24,0.795918,3708.621000
24,0.816327,3768.684000
24,0.836735,3840.684000
24,0.857143,3900.746000
24,0.877551,3948.746000
24,0.897959,4008.809000
24,0.918367,4068.809000
24,0.938776,4128.871000
24,0.959184,4188.871000
24,0.979592,4224.871000
24,1.000000,4224.871000
